"specificEpithet","leaf.bipinnate.pinnae.numberOfPairs.rarelyMin","leaf.bipinnate.pinnae.numberOfPairs.min","leaf.bipinnate.pinnae.numberOfPairs.max","leaf.bipinnate.pinnae.numberOfPairs.rarelyMax","leaf.bipinnate.pinnae.numberOfPairs.value","leaf.bipinnate.pinnae.leaflet.numberOfPairs.rarelyMin","leaf.bipinnate.pinnae.leaflet.numberOfPairs.min","leaf.bipinnate.pinnae.leaflet.numberOfPairs.max","leaf.bipinnate.pinnae.leaflet.numberOfPairs.rarelyMax","leaf.bipinnate.pinnae.leaflet.numberOfPairs.value","inflorescence.spicate","inflorescence.capitate","flower.merism","flower.calyx.shape","flower.corolla.shape","flower.numberWhorlsOfStamens","androecium.filaments.colour","descriptionAuthorship","timestamp"
"arenosa var arenosa","","4","12","","","","12","30","","","yes","","4-merous","campanulate","turbinate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"artemisiana","","7","12","","","","15","29","","","yes","","4-merous","campanulate","campanulate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"bimucronata var bimucronata","","5","9","","","","18","41","","","","yes","4-merous","campanulate","campanulate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"bocainae","","","","","1","","26","32","","","","yes","4-merous","pappiform","turbinate","isostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"caesalpiniifolia","","2","4","","","","1","4","","","yes","","3-merous","campanulate","turbinate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"calothamnos","1","2","5","","","","10","21","","","","yes","4-merous","campanulate","campanulate","isostemonous","yellowish","Lucas Sá Barreto Jordão","12312"
"candollei","","2","3","","","","13","20","","","","yes","5-merous","campanulate","turbinate","diplostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"ceratonia var pseudo-obovata","","2","4","5","","","2","4","5","","","yes","3-merous","campanulate","turbinate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"cubatanensis","","3","5","","","","8","14","","","","yes","4-merous","campanulate","campanulate","diplostemonous","withish","Lucas Sá Barreto Jordão","12312"
"debilis var debilis","","","","","1","","","","","2","","yes","4-merous","campanulate","campanulate","isostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"diplotricha var diplotricha","","4","8","","","","11","28","","","","yes","4-merous","campanulate","['campanulate', 'turbinate']","diplostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"dolens var dolens","","","","","1","","10","14","","","","yes","4-merous","pappiform","['tubulose', 'campanulate']","isostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"dryandroides var dryandroides","","","","","1","","20","28","","","","yes","4-merous","pappiform","campanulate","isostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"elliptica","","6","16","","","","22","36","","","","yes","4-merous","campanulate","campanulate","diplostemonous","pinkish","Lucas Sá Barreto Jordão","12312"
"ernestii","","1","2","","","","12","17","","","","yes","['4-merous', '5-merous']","campanulate","campanulate","isostemonous","withish","Lucas Sá Barreto Jordão","12312"
